model,name,add_noise,labels,scoring,idx,max_configs,n_samples,n_features,n_classes,method,metric,time
xgb,ALLAML.csv,FALSE,original,accuracy,69,200,72,7129,2,tpe,1,55.33292609
xgb,ALLAML.csv,FALSE,original,accuracy,21,216,72,7129,2,fs_with_gs,0.945714286,0.206354018
xgb,ALLAML.csv,FALSE,original,accuracy,161,200,72,7129,2,rs,0.986666667,0.907503907
xgb,ALLAML.csv,FALSE,original,accuracy,1,200,72,7129,2,rsdu,0.973333333,0.989479605
xgb,ALLAML.csv,FALSE,original,accuracy,81,200,72,7129,2,pso,0.986666667,0.224407574
xgb,ALLAML.csv,FALSE,original,accuracy,1,200,72,7129,2,ga,0.972380952,0.910577548
xgb,CLL_SUB_111.csv,FALSE,original,accuracy,157,200,111,11340,3,tpe,0.865612648,121.869352
xgb,CLL_SUB_111.csv,FALSE,original,accuracy,17,216,111,11340,3,fs_with_gs,0.819762846,1.284910683
xgb,CLL_SUB_111.csv,FALSE,original,accuracy,1,200,111,11340,3,rs,0.837944664,7.998365792
xgb,CLL_SUB_111.csv,FALSE,original,accuracy,121,200,111,11340,3,rsdu,0.855731225,9.283804123
xgb,CLL_SUB_111.csv,FALSE,original,accuracy,161,200,111,11340,3,pso,0.828853755,0.925120294
xgb,CLL_SUB_111.csv,FALSE,original,accuracy,118,200,111,11340,3,ga,0.855731225,8.672941931
xgb,TOX_171.csv,FALSE,original,accuracy,123,200,171,5748,4,tpe,0.883193277,78.07363665
xgb,TOX_171.csv,FALSE,original,accuracy,39,216,171,5748,4,fs_with_gs,0.818991597,4.782740788
xgb,TOX_171.csv,FALSE,original,accuracy,1,200,171,5748,4,rs,0.871428571,8.4383045
xgb,TOX_171.csv,FALSE,original,accuracy,1,200,171,5748,4,rsdu,0.871428571,9.574829419
xgb,TOX_171.csv,FALSE,original,accuracy,161,200,171,5748,4,pso,0.889411765,1.129193064
xgb,TOX_171.csv,FALSE,original,accuracy,79,200,171,5748,4,ga,0.865714286,3.729869735
xgb,Yale.csv,FALSE,original,accuracy,148,200,165,1024,15,tpe,0.775757576,35.28825643
xgb,Yale.csv,FALSE,original,accuracy,3,216,165,1024,15,fs_with_gs,0.727272727,5.682825696
xgb,Yale.csv,FALSE,original,accuracy,1,200,165,1024,15,rs,0.745454545,3.605778368
xgb,Yale.csv,FALSE,original,accuracy,1,200,165,1024,15,rsdu,0.745454545,3.508817526
xgb,Yale.csv,FALSE,original,accuracy,81,200,165,1024,15,pso,0.806060606,1.30608596
xgb,Yale.csv,FALSE,original,accuracy,118,200,165,1024,15,ga,0.76969697,2.615634569
xgb,cancer.csv,FALSE,original,accuracy,58,200,569,30,2,tpe,0.971914299,3.876084884
xgb,cancer.csv,FALSE,original,accuracy,77,216,569,30,2,fs_with_gs,0.954308337,0.172929907
xgb,cancer.csv,FALSE,original,accuracy,1,200,569,30,2,rs,0.961356932,0.134958788
xgb,cancer.csv,FALSE,original,accuracy,161,200,569,30,2,rsdu,0.971867722,0.16853284
xgb,cancer.csv,FALSE,original,accuracy,121,200,569,30,2,pso,0.968405527,0.145683098
xgb,cancer.csv,FALSE,original,accuracy,118,200,569,30,2,ga,0.968390002,0.132595742
xgb,madelon.csv,FALSE,original,accuracy,198,200,2600,500,2,tpe,0.824615385,16.77140017
xgb,madelon.csv,FALSE,original,accuracy,34,216,2600,500,2,fs_with_gs,0.854230769,6.187758621
xgb,madelon.csv,FALSE,original,accuracy,81,200,2600,500,2,rs,0.809615385,3.990214864
xgb,madelon.csv,FALSE,original,accuracy,161,200,2600,500,2,rsdu,0.813076923,3.925590249
xgb,madelon.csv,FALSE,original,accuracy,161,200,2600,500,2,pso,0.691153846,0.396778289
xgb,madelon.csv,FALSE,original,accuracy,118,200,2600,500,2,ga,0.778846154,1.44661634
xgb,orlraws10P.csv,FALSE,original,accuracy,36,200,100,10304,10,tpe,0.99,137.0879685
xgb,orlraws10P.csv,FALSE,original,accuracy,7,216,100,10304,10,fs_with_gs,0.93,2.671776148
xgb,orlraws10P.csv,FALSE,original,accuracy,1,200,100,10304,10,rs,0.99,16.11846596
xgb,orlraws10P.csv,FALSE,original,accuracy,1,200,100,10304,10,rsdu,0.99,15.7490058
xgb,orlraws10P.csv,FALSE,original,accuracy,1,200,100,10304,10,pso,0.99,3.266257445
xgb,orlraws10P.csv,FALSE,original,accuracy,1,200,100,10304,10,ga,0.99,11.69274305
xgb,pixraw10P.csv,FALSE,original,accuracy,15,200,100,10000,10,tpe,0.99,145.9080101
xgb,pixraw10P.csv,FALSE,original,accuracy,19,216,100,10000,10,fs_with_gs,0.94,2.196043491
xgb,pixraw10P.csv,FALSE,original,accuracy,1,200,100,10000,10,rs,0.99,15.22786608
xgb,pixraw10P.csv,FALSE,original,accuracy,1,200,100,10000,10,rsdu,0.99,15.36835969
xgb,pixraw10P.csv,FALSE,original,accuracy,1,200,100,10000,10,pso,1,1.797136398
xgb,pixraw10P.csv,FALSE,original,accuracy,1,200,100,10000,10,ga,0.99,8.442281739
xgb,sim_n100_p200_i2.csv,FALSE,original,accuracy,74,200,100,200,2,tpe,0.91,4.081002569
xgb,sim_n100_p200_i2.csv,FALSE,original,accuracy,7,216,100,200,2,fs_with_gs,0.91,0.154618196
xgb,sim_n100_p200_i2.csv,FALSE,original,accuracy,1,200,100,200,2,rs,0.89,0.143373756
xgb,sim_n100_p200_i2.csv,FALSE,original,accuracy,1,200,100,200,2,rsdu,0.89,0.159905012
xgb,sim_n100_p200_i2.csv,FALSE,original,accuracy,121,200,100,200,2,pso,0.87,0.138386019
xgb,sim_n100_p200_i2.csv,FALSE,original,accuracy,79,200,100,200,2,ga,0.91,0.127557011
xgb,sim_n100_p200_i20.csv,FALSE,original,accuracy,165,200,100,200,2,tpe,0.77,4.148474276
xgb,sim_n100_p200_i20.csv,FALSE,original,accuracy,27,216,100,200,2,fs_with_gs,0.74,0.143454003
xgb,sim_n100_p200_i20.csv,FALSE,original,accuracy,81,200,100,200,2,rs,0.76,0.123720777
xgb,sim_n100_p200_i20.csv,FALSE,original,accuracy,41,200,100,200,2,rsdu,0.73,0.160142577
xgb,sim_n100_p200_i20.csv,FALSE,original,accuracy,121,200,100,200,2,pso,0.72,0.137434896
xgb,sim_n100_p200_i20.csv,FALSE,original,accuracy,118,200,100,200,2,ga,0.78,0.121012994
xgb,sim_n100_p500_i5.csv,FALSE,original,accuracy,87,200,100,500,2,tpe,0.94,6.617637451
xgb,sim_n100_p500_i5.csv,FALSE,original,accuracy,49,216,100,500,2,fs_with_gs,0.93,0.262069074
xgb,sim_n100_p500_i5.csv,FALSE,original,accuracy,1,200,100,500,2,rs,0.95,0.209954977
xgb,sim_n100_p500_i5.csv,FALSE,original,accuracy,1,200,100,500,2,rsdu,0.95,0.220763862
xgb,sim_n100_p500_i5.csv,FALSE,original,accuracy,161,200,100,500,2,pso,0.91,0.147706735
xgb,sim_n100_p500_i5.csv,FALSE,original,accuracy,79,200,100,500,2,ga,0.89,0.193420704
xgb,sim_n100_p500_i50.csv,FALSE,original,accuracy,192,200,100,500,2,tpe,0.63,5.854810135
xgb,sim_n100_p500_i50.csv,FALSE,original,accuracy,110,216,100,500,2,fs_with_gs,0.61,0.317013466
xgb,sim_n100_p500_i50.csv,FALSE,original,accuracy,121,200,100,500,2,rs,0.58,0.214178125
xgb,sim_n100_p500_i50.csv,FALSE,original,accuracy,1,200,100,500,2,rsdu,0.56,0.213076727
xgb,sim_n100_p500_i50.csv,FALSE,original,accuracy,41,200,100,500,2,pso,0.62,0.141188085
xgb,sim_n100_p500_i50.csv,FALSE,original,accuracy,157,200,100,500,2,ga,0.59,0.162474815
xgb,spam.csv,FALSE,original,accuracy,178,200,4601,57,2,tpe,0.95001015,9.703008572
xgb,spam.csv,FALSE,original,accuracy,107,216,4601,57,2,fs_with_gs,0.947184771,1.605874435
xgb,spam.csv,FALSE,original,accuracy,1,200,4601,57,2,rs,0.931535429,1.030739502
xgb,spam.csv,FALSE,original,accuracy,161,200,4601,57,2,rsdu,0.940446585,0.934486147
xgb,spam.csv,FALSE,original,accuracy,161,200,4601,57,2,pso,0.923276684,0.251673408
xgb,spam.csv,FALSE,original,accuracy,157,200,4601,57,2,ga,0.940881839,0.663454024
xgb,warpAR10P.csv,FALSE,original,accuracy,73,200,130,2400,10,tpe,0.884615385,38.52460126
xgb,warpAR10P.csv,FALSE,original,accuracy,14,216,130,2400,10,fs_with_gs,0.876923077,3.968710248
xgb,warpAR10P.csv,FALSE,original,accuracy,1,200,130,2400,10,rs,0.861538462,4.56038235
xgb,warpAR10P.csv,FALSE,original,accuracy,1,200,130,2400,10,rsdu,0.861538462,5.24487985
xgb,warpAR10P.csv,FALSE,original,accuracy,121,200,130,2400,10,pso,0.907692308,1.472930602
xgb,warpAR10P.csv,FALSE,original,accuracy,118,200,130,2400,10,ga,0.861538462,4.249466344
xgb,warpPIE10P.csv,FALSE,original,accuracy,62,200,210,2420,10,tpe,1,49.74187455
xgb,warpPIE10P.csv,FALSE,original,accuracy,23,216,210,2420,10,fs_with_gs,0.966666667,5.409439659
xgb,warpPIE10P.csv,FALSE,original,accuracy,41,200,210,2420,10,rs,0.995238095,7.499666814
xgb,warpPIE10P.csv,FALSE,original,accuracy,81,200,210,2420,10,rsdu,0.995238095,8.986417703
xgb,warpPIE10P.csv,FALSE,original,accuracy,1,200,210,2420,10,pso,1,0.872018977
xgb,warpPIE10P.csv,FALSE,original,accuracy,1,200,210,2420,10,ga,0.99047619,3.525470579